t_gd_1,e_gd_1,t_l-bfgs_1,e_l-bfgs_1,t_malbani_1,e_malbani_1,t_ours_1,e_ours_1,t_ours-64_1,e_ours-64_1,t_gd_2,e_gd_2,t_l-bfgs_2,e_l-bfgs_2,t_malbani_2,e_malbani_2,t_ours_2,e_ours_2,t_ours-64_2,e_ours-64_2,t_gd_3,e_gd_3,t_l-bfgs_3,e_l-bfgs_3,t_malbani_3,e_malbani_3,t_ours_3,e_ours_3,t_ours-64_3,e_ours-64_3,t_gd_4,e_gd_4,t_l-bfgs_4,e_l-bfgs_4,t_malbani_4,e_malbani_4,t_ours_4,e_ours_4,t_ours-64_4,e_ours-64_4,t_gd_5,e_gd_5,t_l-bfgs_5,e_l-bfgs_5,t_malbani_5,e_malbani_5,t_ours_5,e_ours_5,t_ours-64_5,e_ours-64_5
0.0005486026798607782,nan,0.0010534887198757911,nan,0.026824868370645814,nan,0.00039966672888424784,0.991842,0.0008079825185372361,0.991842,0.0005536247540065752,nan,0.0012243816161894106,nan,0.027078394171050086,nan,0.0004050146468382861,1.9558407,0.0005026151345809922,1.9558407,0.000559805990163503,nan,0.0011974457741349138,nan,0.02689614927263132,nan,0.0003929310315953834,3.017204,0.0007925542801552054,3.017204,0.0005639048429937767,nan,0.0012139836108711148,nan,0.026947573369501956,nan,0.00041094405786134305,4.089886,0.0005124667289866401,4.089886,0.0005795461808530879,nan,0.0012257967842909108,nan,0.02699942733992689,nan,0.00040286501716556294,5.0534024,0.00056247590242752,5.0534024
0.0005577959441247264,nan,0.0015284470927269598,nan,0.052968567155767234,nan,0.00042022459524949745,0.06338035,0.0012047175819919047,0.00023379676,0.0005698685519829658,nan,0.0018653342472721955,nan,0.0533408124698326,nan,0.0004113447904154392,0.53319234,0.0009266151501464524,0.4893138,0.0005781256598586749,nan,0.001859854288997927,nan,0.05318972911419613,nan,0.00041524416472696297,1.1209886,0.0011725901026012641,1.0789808,0.0005861374040001205,nan,0.0018662103973994296,nan,0.053083491155744664,nan,0.0004197793067266632,1.7056242,0.0009842563425855977,1.6820513,0.0005967912497331521,nan,0.0018673951148521154,nan,0.053188901371322574,nan,0.00042573075585200314,2.2342668,0.001163182320688585,2.2223032
0.0005861599042878619,nan,0.002001277691285525,nan,0.07905673161149025,nan,0.0004170151677348518,0.00980381,0.001548878657432007,9.954556e-05,0.0005866809278460485,nan,0.0025105836342221924,nan,0.07975571244190048,nan,0.0004218699774272474,0.12493652,0.0014317719325356718,0.078344174,0.0006002610265942556,nan,0.0025200973344700678,nan,0.0794327252877078,nan,0.00041554648143106275,0.41488174,0.0015222798761512551,0.3577597,0.0006040515634397577,nan,0.002557367210143379,nan,0.07926040808503916,nan,0.00042205485643353314,0.7521856,0.0015218557595674481,0.70283806,0.0006153457660028445,nan,0.0025640392514677457,nan,0.07943947460236293,nan,0.0004236120549529525,1.0882081,0.0017483592161276777,1.0589986
0.0006012839010218158,nan,0.0024918280172693944,nan,0.10537349623960576,nan,0.00041803882227811433,0.0022571126,0.001941433646050947,1.12475045e-05,0.0006183345747080499,nan,0.00316748907440342,nan,0.10601276281356278,nan,0.0004179468138442774,0.031865675,0.0019110511971770652,0.011915627,0.0006243986950056361,nan,0.0031644271957754558,nan,0.10575227404146323,nan,0.00041490766086748666,0.14426057,0.0019729053628231795,0.108486764,0.0006277396758585902,nan,0.0031678031172071184,nan,0.10558078879756587,nan,0.0004257364577247894,0.32850105,0.002009547058426376,0.29408732,0.0006423988268278273,nan,0.003176532289944589,nan,0.10550088282741074,nan,0.00041937745201201844,0.52991164,0.0022867918503470717,0.50369376
0.0006284059081060279,nan,0.0029710795860072334,nan,0.13176740904538226,nan,0.0004177759014336126,0.0007675241,0.002404832471428173,9.600489e-07,0.0006400210181517261,nan,0.0037751034258066544,nan,0.13241951254229728,nan,0.0004163413407181257,0.008672478,0.0023436301243158855,0.0010627304,0.0006578030139873071,nan,0.003796745642820107,nan,0.13201306095745946,nan,0.00042009116130481877,0.046941992,0.0024494629167020323,0.02177321,0.000663144604702081,nan,0.0038372620100355042,nan,0.1316837418990742,nan,0.0004190314198578043,0.1353767,0.002460760997408735,0.09928353,0.0006859870975604282,nan,0.0038502994673659226,nan,0.13189613447092208,nan,0.00041985114243081107,0.24364679,0.002774145382988666,0.20945442
0.0006536729775668521,nan,0.003453320477191093,nan,0.158273391084679,nan,0.0004219441387270178,0.0003405563,0.002952221458711262,4.8302763e-07,0.00067633844186951,nan,0.00445400260122759,nan,0.15861889405974322,nan,0.0004154366778675467,0.004583978,0.0027590215572022964,0.00011103907,0.0006917225152719766,nan,0.004411316813036267,nan,0.1583033590560912,nan,0.0004200137890043801,0.019484246,0.0029721942613832653,0.0050001442,0.0006900722753156774,nan,0.004451029303849542,nan,0.15790784222938653,nan,0.00042580092329132767,0.053097308,0.002907160257288654,0.02768284,0.0007201354557348947,nan,0.004461301359946706,nan,0.15821711778407918,nan,0.0004180610364169947,0.10578022,0.003286079975743113,0.07514049
0.0006664620931592903,nan,0.003913948307079929,nan,0.1848716286293763,nan,0.000422780244727619,0.0002417523,0.0034319124101395053,4.774242e-07,0.000691500418270672,nan,0.005062359446726207,nan,0.18499712598443563,nan,0.00041523808357305826,0.003008372,0.003138867615489289,8.187546e-06,0.0007184750613024724,nan,0.005006673505829115,nan,0.18457669225587908,nan,0.00042104023472139875,0.012758452,0.003448745535819658,0.0013705303,0.0007146175611331794,nan,0.0051173996755720244,nan,0.18418981796962078,nan,0.0004221375455880271,0.02582178,0.003319085932702624,0.007636657,0.0007398294659630795,nan,0.005071245850163645,nan,0.18460475646923963,nan,0.0004225418758911214,0.046871416,0.0037469017625387227,0.022939118
0.000712318749449748,nan,0.004340623090974986,nan,0.2096580164174416,nan,0.0004196519090162058,0.00012722531,0.003862459886752601,4.7590126e-07,0.0007172432881114738,nan,0.0056616800414797455,nan,0.21131624743741537,nan,0.0004281708244234323,0.0026784516,0.0035571469487955,9.921806e-07,0.0007503425362852535,nan,0.005682600599913192,nan,0.21089006172093963,nan,0.00041502873187086416,0.010644683,0.003940171927180407,0.0004045131,0.0007419360118385937,nan,0.005709395245648921,nan,0.2102797915660111,nan,0.00042710139584128877,0.014929356,0.0037511232488655617,0.0020034495,0.0007605536005825602,nan,0.0057187624744671805,nan,0.21037884357584907,nan,0.0004213113424567772,0.025153672,0.004253416847204789,0.0061366083
0.0007536846239818261,nan,0.0047908250272407065,nan,0.2357299428632749,nan,0.00041982877013340065,6.009544e-05,0.0043452857028959055,4.826095e-07,0.0007522907598675894,nan,0.006315216051048732,nan,0.23760497114355011,nan,0.0004206094571355996,0.0024702689,0.003931825779644506,8.177724e-07,0.0007643558802914672,nan,0.00626344574432421,nan,0.23719887428783945,nan,0.00042250831569877587,0.0102144135,0.004426826287194022,9.124615e-05,0.0007556491844256275,nan,0.0063120868241613995,nan,0.2366932874345886,nan,0.0004265250019961968,0.0115453685,0.004147078337181093,0.000633696,0.0007896545318653807,nan,0.006319367795783494,nan,0.23693592016518647,nan,0.00041903266214233424,0.017081475,0.004721884884472403,0.0016460966
0.000763144228823616,nan,0.005266735124501533,nan,0.2619082155703966,nan,0.00041968683085204765,1.7821318e-05,0.004841563214182055,4.8137304e-07,0.0007744635893031954,nan,0.00696827558318286,nan,0.26599217630324085,nan,0.00042641144199296834,0.0024658772,0.0043731670958056515,8.0828687e-07,0.0007889045312767848,nan,0.006934771655692852,nan,0.2643653610056,nan,0.0004279184364381113,0.010103488,0.004913981315746371,3.3595254e-05,0.0007896147434034251,nan,0.006956202210026926,nan,0.2626061911495136,nan,0.0004212435837336151,0.009758817,0.004574200908620177,0.00014946333,0.000813524882991,nan,0.006987983698491007,nan,0.2628898297303489,nan,0.0004255887973288606,0.0144506795,0.005186733997127574,0.00047792812
