t_image_1,e_image_1,t_gd_1,e_gd_1,t_l-bfgs_1,e_l-bfgs_1,t_malbani_1,e_malbani_1,t_ours_1,e_ours_1,t_ours-64_1,e_ours-64_1,t_image_2,e_image_2,t_gd_2,e_gd_2,t_l-bfgs_2,e_l-bfgs_2,t_malbani_2,e_malbani_2,t_ours_2,e_ours_2,t_ours-64_2,e_ours-64_2,t_image_3,e_image_3,t_gd_3,e_gd_3,t_l-bfgs_3,e_l-bfgs_3,t_malbani_3,e_malbani_3,t_ours_3,e_ours_3,t_ours-64_3,e_ours-64_3,t_image_4,e_image_4,t_gd_4,e_gd_4,t_l-bfgs_4,e_l-bfgs_4,t_malbani_4,e_malbani_4,t_ours_4,e_ours_4,t_ours-64_4,e_ours-64_4,t_image_5,e_image_5,t_gd_5,e_gd_5,t_l-bfgs_5,e_l-bfgs_5,t_malbani_5,e_malbani_5,t_ours_5,e_ours_5,t_ours-64_5,e_ours-64_5
0.00046525760755009417,3.7695575,0.0005442262432937111,0.36750677,0.0007961216231342405,0.18450987,0.001237138470851018,0.0684176,0.00040330777995820554,1.5662345,0.0008154990111278104,1.5662345,0.0005035377104234482,6.641333,0.0005489484274294228,0.8257898,0.0007844321254607556,0.55001676,0.0017294416439752758,0.24904166,0.0003984196378649878,3.1676183,0.0005029412321580042,3.1676183,0.0005189175128471106,13.343045,0.0005615131372718939,1.374226,0.0007644059002964891,1.0191883,0.0020269463773417685,0.48920223,0.00039325546714410716,4.924077,0.0007797015574594428,4.924077,0.0005314286866923794,24.442947,0.0005607737586999844,1.9231476,0.0007837020285494093,1.5173854,0.002134093559912539,0.8578082,0.0003961947888767879,6.4989414,0.0005098007142743362,6.4989414,0.0005487320497133103,38.90614,0.0005768697052761647,2.4525764,0.0008024796253136759,1.9973525,0.002341359161738572,1.2511417,0.00039894264515688907,8.286954,0.0005587107109770711,8.286954
0.00046015549715541836,3.7695575,0.0005680771988450683,0.20732689,0.001053979997722698,0.04190364,0.0019523563101122687,0.024938509,0.0004161519976998014,0.27968788,0.001206270733715168,0.234385,0.0004989218705533338,6.641333,0.0005698331452606778,0.5810311,0.0010827298377407714,0.33855593,0.002945424685687093,0.1474211,0.0004223469891252795,1.5240401,0.0009331435608577781,1.5155154,0.0005112617467197457,13.343045,0.0005830845907164205,1.0310831,0.0010812126344202885,0.7765655,0.003413725097031732,0.3875853,0.00041945573900427135,2.8089666,0.0011703835162833068,2.822437,0.0005316242551364536,24.442947,0.0005847803406982816,1.5210813,0.0011155177600282644,1.2577269,0.0037239414614824847,0.9253961,0.00042034088886742086,3.9517071,0.0009811202151135407,3.9781764,0.0005483878255555673,38.90614,0.0005992709168598855,1.985763,0.0011582083598644076,1.7191945,0.004035382526926696,1.6413988,0.00041859990000791316,5.1752954,0.001174797352985479,5.204057
0.00044837009199961487,3.7695575,0.000587873617702696,0.19844791,0.001491473840566219,0.0146850785,0.0026462873833120936,0.0090375105,0.0004217010245525411,0.12618865,0.0015589709318342751,0.06187547,0.0004920777164432885,6.641333,0.0006096273103030398,0.8525217,0.001498789923282207,0.22574015,0.004114418608701921,0.0774576,0.00042407477643739965,0.7615357,0.0014458543098964064,0.74373806,0.0005146843218410919,13.343045,0.0005950892736935722,1.527614,0.001435718713145304,0.5973316,0.004906629888241046,0.27697366,0.00041706383712257126,1.8343253,0.001513838390137867,1.8722535,0.0005329221233259887,24.442947,0.0005999354814245765,2.3101373,0.0014518446527155382,1.0582578,0.005316734093108348,0.75734353,0.00042101785360968536,2.84291,0.0015017312087085364,2.9183931,0.0005443664836930111,38.90614,0.0006386574058726963,3.099809,0.0014861110691480072,1.5255882,0.005730700631393119,1.4033345,0.0004211442155563938,3.8468874,0.001735710320013043,3.9739048
0.00044961727483730236,3.7695575,0.0005983199409841161,0.14168404,0.0019661845000726835,0.004810496,0.003302834701524781,0.004546492,0.00042040622914542574,0.046599522,0.00193932174838015,0.009449456,0.0004950370917296303,6.641333,0.0006207198295742273,0.72156316,0.001888427433574439,0.15180075,0.005295328154295151,0.061803263,0.00041632134272783465,0.45854652,0.0019143145628705888,0.42867613,0.0005115221869699391,13.343045,0.0006203515584181461,1.4787474,0.001866792717732356,0.46602675,0.006318302093007203,0.25753027,0.00041459872972752365,1.1992826,0.001982251825642639,1.2333231,0.0005199084508764957,24.442947,0.0006334200204416577,2.2244751,0.0019199197989821968,0.8998445,0.006869060288549268,0.6899886,0.00042037473830194876,2.08794,0.001989814465632662,2.1570425,0.0005436661723901385,38.90614,0.0006671624382891294,2.8746123,0.00188992019277066,1.3624935,0.007465962944219687,1.7124078,0.00041190525601684516,2.9192047,0.002283226325609056,3.0534582
0.00046160987370447924,3.7695575,0.0006241623175696337,0.16509777,0.0024740230270461844,0.0014415439,0.003993799935560673,0.0018451698,0.0004149131628551654,0.025563352,0.002426635871441769,0.0017834154,0.0004922458026059238,6.641333,0.0006401732697184862,1.066865,0.0023596092859017,0.10541342,0.0064983334357384594,0.04832333,0.0004213068999649425,0.30855983,0.0023457383815132615,0.2466325,0.0005052470555695305,13.343045,0.0006601461958239919,2.1264727,0.0022906138628189057,0.38156533,0.007691564094275237,0.22332866,0.0004094228776770511,0.81680083,0.0024691089957819454,0.81214565,0.0005269220794185197,24.442947,0.0006558938598692683,3.1333492,0.0024548309041918922,0.7975982,0.008445111598619924,0.6159267,0.00041226275982002595,1.5517402,0.00243723501135329,1.6039151,0.0005533751592904861,38.90614,0.0006939865495743495,4.111708,0.0024003547170598593,1.2475333,0.009147577834415383,1.6250322,0.000416119958307328,2.2777503,0.0027690493729564227,2.4079049
0.00046399965717656803,3.7695575,0.0006668043397200692,0.114386246,0.002968799083027989,0.00041345847,0.004652056127088145,0.0005537713,0.00042126677055577083,0.018322816,0.00297487924989712,0.00063659466,0.0005099823746963271,6.641333,0.000662059841710808,0.8943926,0.00275106490124017,0.07565258,0.007652946714411623,0.04379001,0.00042405347615879563,0.21811186,0.002766764827039359,0.1350918,0.0005173783710259678,13.343045,0.0006969471400038207,1.8298616,0.0028080389156405414,0.32702884,0.00912096173003582,0.21926704,0.0004114703350268038,0.6068242,0.002962796420324594,0.55706173,0.0005323750602713387,24.442947,0.0006977794916934466,2.724407,0.0030390576301475188,0.72325957,0.009999006647184226,0.5811404,0.00042421391099092684,1.1746198,0.0028761733626015483,1.1966338,0.0005415855562813314,38.90614,0.0007171277001533392,3.560296,0.002879684125572177,1.1595178,0.010844965661277196,1.600229,0.0004204632777088721,1.8126962,0.003274822255895872,1.9100435
0.00046733928897551126,3.7695575,0.0006899718807045636,0.15478048,0.0034362858713471466,0.00010870091,0.0053612332998974515,0.00061240146,0.000418776688282378,0.014053186,0.0034731069928966465,0.00051702315,0.0004980003134447284,6.641333,0.0007073857262896905,1.1856009,0.003261578671434628,0.057434123,0.008853715072951412,0.03613685,0.00040990856444529655,0.17278086,0.0031467574472273034,0.07329903,0.0005065061938450006,13.343045,0.0007179713505819173,2.340011,0.003313315947140966,0.28738952,0.010483977792651525,0.20298259,0.00040756450640037656,0.47860098,0.00345112510457901,0.3845819,0.0005320387974248401,24.442947,0.0007223268578361188,3.4257038,0.0035800463613122704,0.67200714,0.011552368921360799,0.52719146,0.00041424524273523793,0.9390962,0.003292463351473478,0.91652495,0.0005358613994238632,38.90614,0.0007532745982919421,4.495447,0.003398454595756318,1.0910655,0.01252650361724331,1.5541552,0.00042091877213014026,1.4653381,0.0037751675402146897,1.5129508
0.00045498303769688517,3.7695575,0.0007057063375666206,0.12114184,0.003875697258294427,2.6309222e-05,0.006010557238644521,0.00018340895,0.0004115916018573833,0.012853695,0.003924999841422375,0.00041380426,0.000494657469880102,6.641333,0.0007211001530189866,1.0038679,0.003779842406012384,0.048073232,0.010007361129724553,0.035875197,0.0004217521365831739,0.14644893,0.003574383464375777,0.043514527,0.0005092966778403414,13.343045,0.0007602840416865156,1.9805735,0.0037880609141263577,0.25820634,0.011886214557203597,0.20186879,0.0004147139948327094,0.40531972,0.003917502314018618,0.27182093,0.000529316559849706,24.442947,0.0007469900400111718,2.9212515,0.004059972572805626,0.63238865,0.013105661730348533,0.5180657,0.0004238972479943186,0.78961796,0.003706547328370756,0.7186868,0.0005460761509769197,38.90614,0.0007740855118359572,3.805473,0.0038367157113472264,1.0379769,0.014276458680230591,1.540788,0.00042176604688367144,1.2249013,0.004237952332810632,1.2225299
0.00046219969595715936,3.7695575,0.0007401850338459813,0.16988142,0.004331706248257043,7.4417794e-06,0.006706314090073906,0.00011958696,0.0004176465491265324,0.01257625,0.004433700861242998,0.0003603605,0.0004950700538465753,6.641333,0.0007379201295885391,1.2606575,0.004418004592880607,0.042761866,0.011195279666821338,0.031755324,0.00041765791299154184,0.13991083,0.003967607295573024,0.028564587,0.0005093862111181286,13.343045,0.0007717595861759036,2.436485,0.004253372325828032,0.23600294,0.013265989522749027,0.19244105,0.0004144825170515105,0.35937166,0.0044009494801451055,0.1951974,0.0005301641941436433,24.442947,0.0007618983484072877,3.5244021,0.004542817336873018,0.6015884,0.01467222648855698,0.4982316,0.00040701330085617625,0.6938515,0.004099491187371314,0.5678538,0.0005482680731552786,38.90614,0.0008036782402611736,4.6100564,0.004314526974589431,0.9929946,0.01595536867006948,1.5104364,0.00041905583770546526,1.057534,0.004711430328731824,0.98649216
0.0004577245284204504,3.7695575,0.00074903335543682,0.12804163,0.004810597617179155,3.0735298e-06,0.007321634467225522,9.444566e-05,0.00041834013671281615,0.012361477,0.004935989603067616,0.00034781647,0.0004910227661353669,6.641333,0.0007707702462960567,1.0514449,0.005025386456899079,0.03911295,0.012362744772773503,0.032251295,0.0004178338101233489,0.13376193,0.0043670758827855545,0.02067801,0.000510638574121653,13.343045,0.0008013943428439753,2.0508428,0.004670063459780068,0.2187868,0.014695874134610806,0.19426057,0.00041866665657809267,0.3332138,0.004868984063089427,0.14265385,0.0005249954512608903,24.442947,0.0007728913053038662,3.0113175,0.005098580549737173,0.5738304,0.016212370855833536,0.49449837,0.00041903819486365787,0.62202567,0.00449591953390544,0.43985337,0.0005464478010211939,38.90614,0.0008320977665550475,3.9138038,0.004783367645494374,0.9532454,0.017627434304117093,1.504173,0.0004146505321342764,0.93757194,0.005179559279931709,0.8013714
