num_inter,impl-16-1-1,impl-16-1-2,impl-16-64-1,impl-16-64-2,impl-128-1-1,impl-128-1-2,impl-128-64-1,impl-128-64-2,ad-16-1-1,ad-16-1-2,ad-16-64-1,ad-16-64-2,ad-128-1-1,ad-128-1-2,ad-128-64-1,ad-128-64-2
1,0.00021463040290733003,0.0003260205864374127,0.007466753487242386,0.0076610426899112235,0.0012505887738495532,0.0019378812794374038,0.05490593408467248,0.05757041615433991,0.0014093942984639268,0.0017989818926933885,0.030559608413438712,0.031914974642651424,0.009485634294604616,0.01212981141887472,0.24423290955434954,0.25462604069616646
2,0.00026927146541752984,0.0003507229128652918,0.007281110326792779,0.006644616602653904,0.0016244602075977516,0.0020189046626910567,0.05514999972822677,0.04927276499968554,0.001838601482849169,0.0020261081457470676,0.031405956730512635,0.033608171144234276,0.012555293359993292,0.014049092946141692,0.24680677601801498,0.26856300998146515
3,0.00027926543045655956,0.00036620515985746996,0.007499959188613243,0.007748652035703084,0.0016583608908445709,0.002157562959972503,0.056085676628364514,0.057792795459473766,0.002004734352430595,0.0021209738327057233,0.033380174056427285,0.03689771008378427,0.013635730101128242,0.01508686692853059,0.26863890417319325,0.29641297715716064
4,0.0003165991671849042,0.00038835713797847607,0.007470296019954341,0.00699939827617657,0.001919688724713134,0.0022764236270450054,0.05639360786881298,0.051978363898316664,0.0020944941230118274,0.0024478432958546493,0.0339730836284746,0.036692677780852785,0.014146902847236822,0.017584913674342846,0.2713016281403335,0.2917145524573113
5,0.0003369896961376071,0.00043677125941030684,0.00626338073118989,0.00800157571011888,0.0020757142928362424,0.002506925941311887,0.04690145638472002,0.05996521113972579,0.0023145957124818648,0.0025108397286385297,0.034039997974676744,0.03704667575657367,0.01538720080429422,0.017556582987142196,0.27397581500866053,0.29391713526898194
6,0.0003513643676914009,0.00046769831727059294,0.006465048128406384,0.007462175241505195,0.0021475791186094284,0.0024992771258777273,0.04824738141116021,0.05560115464031696,0.0022964244400749782,0.002698878459965012,0.036837087140884246,0.0400116763027784,0.015594868690241128,0.019844944856595246,0.2953907358626436,0.3192291825544089
7,0.0003740532642862361,0.0005294183164203007,0.007574641007397856,0.007070156963142965,0.0022175610115352487,0.002740869202950437,0.05677401414307366,0.05213192312845162,0.0023716962987756626,0.0029859589770369764,0.03840046228807686,0.03914091332782326,0.016470356995871824,0.022282341584962395,0.30665453616529703,0.31650808185804635
8,0.00036647999729029837,0.0005532580161400671,0.006669262895926035,0.009824991341613767,0.0021313898140631086,0.0027533359985266416,0.049317598771969125,0.0743536024587229,0.0026611543613086854,0.003430788131497268,0.03901719291295324,0.03998885111317837,0.019852336348932503,0.026236418358582474,0.31178170384373516,0.3196632365662871
9,0.0004387211051403678,0.000651651493855752,0.007024964818597905,0.01066554317583463,0.0025865313099763753,0.0030559096513648647,0.05197940339899755,0.08041385634236835,0.003058891285743032,0.00379618123705898,0.037592294729048646,0.04050666314183867,0.022745452199264295,0.02883291954307684,0.3013851474139041,0.32120009012786405
10,0.00040297814641546993,0.0007207626528272938,0.006945341758629574,0.0074707755399867895,0.0023662741828177655,0.0031637369131203743,0.05186451202857175,0.054908352784280266,0.003121703164153067,0.0042311730001321326,0.0385671917149531,0.04297971001526873,0.022106441002272603,0.03208209057172228,0.3114627378527075,0.34074335555279894
