t_gd_1,e_gd_1,t_l-bfgs_1,e_l-bfgs_1,t_malbani_1,e_malbani_1,t_ours_1,e_ours_1,t_ours-64_1,e_ours-64_1,t_gd_2,e_gd_2,t_l-bfgs_2,e_l-bfgs_2,t_malbani_2,e_malbani_2,t_ours_2,e_ours_2,t_ours-64_2,e_ours-64_2,t_gd_3,e_gd_3,t_l-bfgs_3,e_l-bfgs_3,t_malbani_3,e_malbani_3,t_ours_3,e_ours_3,t_ours-64_3,e_ours-64_3,t_gd_4,e_gd_4,t_l-bfgs_4,e_l-bfgs_4,t_malbani_4,e_malbani_4,t_ours_4,e_ours_4,t_ours-64_4,e_ours-64_4,t_gd_5,e_gd_5,t_l-bfgs_5,e_l-bfgs_5,t_malbani_5,e_malbani_5,t_ours_5,e_ours_5,t_ours-64_5,e_ours-64_5
0.0005322816365764344,nan,0.0010566850744320878,nan,0.01459814574137064,nan,0.0003992858201464904,1.2951729,0.00079902303972215,1.2951729,0.0006117103551514446,nan,0.001210870792157948,nan,0.021307667526083866,nan,0.0003999908681393468,2.5439456,0.0005027793594303408,2.5439456,0.0005789898031258158,nan,0.0012144380788584905,nan,0.023777393058740666,nan,0.0004034901623713917,4.0161858,0.0007838872998753297,4.0161858,0.0007004232542822137,nan,0.0012231288548459167,nan,0.026756437487035458,nan,0.0004535876498225012,5.299332,0.0005255725844430604,5.299332,0.0005752591384142372,nan,0.0012021794979892937,nan,0.02595914815818625,nan,0.000404303040837736,6.640595,0.0005442545521405659,6.640595
0.000576614806411921,nan,0.0015336994827292593,nan,0.028103877030246492,nan,0.00041064236858593566,0.16943511,0.0012156750678550452,0.11494792,0.0005655622444381671,nan,0.00187541461127278,nan,0.04199231797330348,nan,0.0004204391582669424,1.0308874,0.0009262791252362409,1.0054082,0.0005940656775575398,nan,0.0019039988265638905,nan,0.047648601001128554,nan,0.00042584906144267214,1.966301,0.001197503626429742,1.9550517,0.0006480048817216552,nan,0.0019363491451035119,nan,0.051264992629044825,nan,0.0004310813057402681,2.830038,0.0009549908117125076,2.8372693,0.0005966645787203951,nan,0.0018905348372811983,nan,0.051230040453707,nan,0.00042315390857402234,3.6950557,0.0011164809624232086,3.7041621
0.0005901605050146047,nan,0.0019890790598999174,nan,0.04180849741179762,nan,0.0004173745598111834,0.06597162,0.0015591967216127419,0.031166116,0.0005909130927175283,nan,0.0025685146314624167,nan,0.06259009709714779,nan,0.00040901967701834763,0.45349157,0.0014167226236812506,0.41266754,0.0006253443751317848,nan,0.0025324620802088505,nan,0.06984587984458943,nan,0.00042078941282151,1.1322019,0.0015691085792911637,1.1044474,0.0006419368804532236,nan,0.002575959990166926,nan,0.07690725337181772,nan,0.000434663627030594,1.786678,0.0013877753788505548,1.8045036,0.000618467940849119,nan,0.0025931294498566003,nan,0.07656762097363493,nan,0.0004170024302688294,2.47146,0.0015886350084329023,2.5087204
0.000605037075999592,nan,0.00248555605565863,nan,0.0555772147557166,nan,0.0004176427324169449,0.02572568,0.0020698587470022694,0.005481782,0.0006401666218547949,nan,0.003308677517010697,nan,0.0849778714423467,nan,0.00041587487644782024,0.23676029,0.0018201625719832788,0.19901218,0.0006555761104349846,nan,0.0031848308414087765,nan,0.09347220671562743,nan,0.00041630151373932934,0.6612184,0.001931073377075206,0.6317679,0.0007029867409894775,nan,0.0033762669383681247,nan,0.10301518032626647,nan,0.0004504073115531355,1.1777439,0.001806537204405426,1.1756239,0.0006587394567239763,nan,0.003214887372949826,nan,0.10190716951287218,nan,0.00041449375186182024,1.6931522,0.0020648699285395976,1.7208962
0.0006263108474002885,nan,0.002979956146861826,nan,0.07073052855474608,nan,0.00042514168614122487,0.012660264,0.0025923158544381816,0.0010914829,0.0006987248462724632,nan,0.0040244506913170745,nan,0.10648282579578726,nan,0.0004395154207013547,0.14163037,0.002139316817213382,0.096671104,0.0006555908332811668,nan,0.0038021448685321957,nan,0.11596025305667093,nan,0.0004180506010140692,0.40992928,0.002411038123037932,0.36699483,0.0006874492027065051,nan,0.0038513412983489357,nan,0.1268911411021171,nan,0.0004234513291490397,0.7983649,0.0022226727644114623,0.77145314,0.0006803574144308057,nan,0.003879709858447313,nan,0.1271481000419174,nan,0.0004151379424479923,1.2089801,0.0025363611870644876,1.2241383
0.000690069220278279,nan,0.0036260278684286666,nan,0.0848710218145113,nan,0.0004252712121399652,0.0091561265,0.0029817902971990408,0.0004043501,0.0007444274301607427,nan,0.004540149961165818,nan,0.12591233535536697,nan,0.000418779379987557,0.09201196,0.0026735432441013737,0.047374535,0.000711509316727253,nan,0.004466679239911693,nan,0.14035037469917108,nan,0.0004290287384064868,0.28732026,0.0028936258583728757,0.22579259,0.000719103230861947,nan,0.00469701369575757,nan,0.1547709184299622,nan,0.00045749900298791806,0.5644383,0.0026589474487783656,0.5035593,0.0007136885896824034,nan,0.004489800559988778,nan,0.1524356351982403,nan,0.0004323480016818004,0.8938892,0.0029987369343039715,0.8709959
0.0007207251201283985,nan,0.003984314258809069,nan,0.09692141168384946,nan,0.00042494971238608875,0.006221429,0.0034665642698694554,0.00042353827,0.0007606373106994268,nan,0.00525239011272788,nan,0.14767522714267087,nan,0.00042767561286953943,0.070676535,0.003046924631510462,0.022626238,0.0007401860898659964,nan,0.0050993386112220054,nan,0.16440637413013195,nan,0.00044917300488201106,0.22845726,0.0035058222012594345,0.14058451,0.0007454636504241665,nan,0.005141473825621817,nan,0.180693638356336,nan,0.0004671511735900172,0.42130688,0.003068549428467772,0.33754942,0.0007432499688916973,nan,0.005100103375734762,nan,0.17767748904547523,nan,0.0004262950130671795,0.69580626,0.0034726008957451475,0.63083607
0.0007362450148710715,nan,0.004460629284315344,nan,0.11194623017217964,nan,0.0004497755148414788,0.005778848,0.004030842321226373,0.00035817374,0.0007579826238797978,nan,0.005684595052818103,nan,0.16663846267287488,nan,0.00041732679829666655,0.059950683,0.003517194095766172,0.01262973,0.0007862517305683079,nan,0.005839718891573803,nan,0.187630489982465,nan,0.0004262593690239425,0.19939695,0.0038248003086274753,0.09086059,0.0007707033732772938,nan,0.00597926466842182,nan,0.20427095672182208,nan,0.00046101046558136917,0.35325995,0.0034611131259173686,0.23313144,0.0007641699994149219,nan,0.005766590006948848,nan,0.20288801141681947,nan,0.00042324148870206307,0.5593359,0.00394238280548182,0.46579283
0.0007444250758437972,nan,0.0048672105884179475,nan,0.12496159547174882,nan,0.00042765572031826845,0.0057183555,0.004541262688414593,0.00033948402,0.0007559845032769121,nan,0.006367639218556828,nan,0.1903293482144363,nan,0.00042371192930399303,0.055072077,0.003822891198464536,0.007781963,0.0008302644618420994,nan,0.006622356072933014,nan,0.21289442960239416,nan,0.00044354411171350095,0.18086018,0.0042904545516440915,0.061139513,0.0008612624754397465,nan,0.006689521967034255,nan,0.22752472129650414,nan,0.00043083814614718513,0.3093698,0.0038293433161119797,0.15950443,0.0008048116336909257,nan,0.006393585524388722,nan,0.22716264985501766,nan,0.00042125858027221904,0.47195107,0.004376487819910316,0.35100845
0.0008607439681488488,nan,0.005904323591551345,nan,0.14010477688695702,nan,0.00042392090488491314,0.005677678,0.005146443739899301,0.0003401338,0.0007943674447181235,nan,0.0070439557057605795,nan,0.2091921577230096,nan,0.00041737339615688796,0.05253135,0.004187768744471084,0.00635926,0.0008239306465755882,nan,0.007548892641539818,nan,0.2361794161344213,nan,0.00044432012941355686,0.1717883,0.0046900551574903405,0.04263418,0.0008045659385721332,nan,0.007556706330339823,nan,0.25673664772018256,nan,0.0004467655992900421,0.27677786,0.004285045740294403,0.11149538,0.0008229275216913916,nan,0.00700797212542966,nan,0.25185309887664126,nan,0.0004367043890358348,0.42059964,0.004843338719968285,0.26273617
